date,type,exercise,set_no,weight_kg,reps,rir,notes
2026-06-08,strength,incline_chest_press_machine,1,55,10,2,
2026-06-08,strength,incline_chest_press_machine,2,55,8,1,
2026-06-08,strength,incline_chest_press_machine,3,55,8,0,
2026-06-08,strength,standing_chest_press_machine,1,60,10,2,
2026-06-08,strength,standing_chest_press_machine,2,60,9,1,
2026-06-08,strength,standing_chest_press_machine,3,60,8,0,
2026-06-08,strength,lateral_raise_machine,1,30,14,2,
2026-06-08,strength,lateral_raise_machine,2,30,13,1,
2026-06-08,strength,lateral_raise_machine,3,30,12,0,
2026-06-08,strength,dip_machine,1,45,12,2,
2026-06-08,strength,dip_machine,2,45,11,1,
2026-06-08,strength,overhead_triceps_machine,1,35,12,2,
2026-06-08,strength,overhead_triceps_machine,2,35,10,1,
2026-06-09,strength,pullup,1,0,7,2,
2026-06-09,strength,pullup,2,0,6,1,
2026-06-09,strength,pullup,3,0,5,0,
2026-06-09,strength,overhead_press,1,45,7,2,
2026-06-09,strength,overhead_press,2,45,5,1,
2026-06-09,strength,overhead_press,3,45,5,1,
2026-06-09,strength,face_pull,1,22.5,14,2,
2026-06-09,strength,face_pull,2,22.5,13,1,
2026-06-09,strength,face_pull,3,22.5,12,0,
2026-06-09,strength,barbell_curl,1,30,10,2,
2026-06-09,strength,barbell_curl,2,30,9,1,
2026-06-10,strength,romanian_deadlift,1,80,8,2,
2026-06-10,strength,romanian_deadlift,2,80,7,1,
2026-06-10,strength,romanian_deadlift,3,80,6,0,
2026-06-10,strength,hanging_leg_raise,1,0,12,2,
2026-06-10,strength,hanging_leg_raise,2,0,10,1,
2026-06-10,strength,hanging_leg_raise,3,0,10,0,
2026-06-10,strength,lateral_raise,1,10,14,2,
2026-06-10,strength,lateral_raise,2,10,13,1,
2026-06-10,strength,lateral_raise,3,10,12,0,
2026-06-10,strength,chest_supported_row,1,55,10,2,
2026-06-10,strength,chest_supported_row,2,55,8,1,
2026-06-11,strength,bench_press,1,75,8,2,
2026-06-11,strength,bench_press,2,75,6,1,
2026-06-11,strength,bench_press,3,75,6,0,
2026-06-11,strength,pullup,1,0,7,2,
2026-06-11,strength,pullup,2,0,6,1,
2026-06-11,strength,pullup,3,0,5,0,
2026-06-11,strength,triceps_pushdown,1,27.5,12,2,
2026-06-11,strength,triceps_pushdown,2,27.5,11,1,
2026-06-11,strength,barbell_curl,1,30,10,2,
2026-06-11,strength,barbell_curl,2,30,9,1,
2026-06-12,strength,overhead_press,1,45,7,2,
2026-06-12,strength,overhead_press,2,45,6,1,
2026-06-12,strength,overhead_press,3,45,5,0,
2026-06-12,strength,lateral_raise,1,10,14,2,
2026-06-12,strength,lateral_raise,2,10,13,1,
2026-06-12,strength,lateral_raise,3,10,12,0,
2026-06-12,strength,face_pull,1,22.5,14,2,
2026-06-12,strength,face_pull,2,22.5,13,1,
2026-06-12,strength,face_pull,3,22.5,12,0,
2026-06-12,strength,hanging_leg_raise,1,0,12,2,
2026-06-12,strength,hanging_leg_raise,2,0,11,1,
2026-06-13,strength,chest_supported_row,1,55,10,2,
2026-06-13,strength,chest_supported_row,2,55,8,1,
2026-06-13,strength,chest_supported_row,3,55,8,0,
2026-06-13,strength,romanian_deadlift,1,80,8,2,
2026-06-13,strength,romanian_deadlift,2,80,7,1,
2026-06-13,strength,romanian_deadlift,3,80,6,0,
2026-06-13,strength,barbell_curl,1,30,10,2,
2026-06-13,strength,barbell_curl,2,30,9,1,
2026-06-13,strength,triceps_pushdown,1,27.5,12,2,
2026-06-13,strength,triceps_pushdown,2,27.5,11,1,
